species,longitude,latitude
Chelemys megalonyx,-71.66667,-30.66667
Micronycteris megalotis,-80.0,9.31667
Peropteryx macrotis,-80.1,8.86667
Rhynchonycteris naso,-79.63295,9.03452
Spalacopus cyanus,-71.66667,-30.66667
Didelphis marsupialis,-80.13333,8.6
Vicugna vicugna,-67.43578,-23.40578
Carollia perspicillata,-79.65608,9.11667
Noctilio albiventris,-79.28333,9.08333
Micronycteris brachyotis,-80.0,9.31667
Noctilio leporinus,-79.65,9.16667
Pteronotus parnellii,-79.6293,9.08724
Lonchorhina aurita,-79.65608,9.11667
Carollia perspicillata,-79.58333,8.95
Micronycteris megalotis,-79.61667,9.08333
Lonchorhina aurita,-79.6293,9.08724
Glossophaga soricina,-79.55609,9.01667
Rhynchonycteris naso,-79.7,9.1
Glossophaga soricina,-80.13333,8.6
Natalus stramineus,-80.0,9.31667
Macrophyllum macrophyllum,-79.63295,9.03452
Phyllostomus hastatus,-79.5,9.03267
Carollia perspicillata,-79.5,9.03267
Artibeus lituratus,-79.58333,8.98697
Macrophyllum macrophyllum,-78.9,9.18333
Micronycteris megalotis,-79.85,9.30635
Nyctinomops laticaudatus,-79.28333,9.08333
Micronycteris megalotis,-79.61149,9.08848
Reithrodontomys fulvescens,-96.76671,17.0338
Sciurus aureogaster,-91.96742,15.84859
Artibeus lituratus,-79.65,9.06667
Baiomys musculus,-96.76671,17.0338
Reithrodontomys fulvescens,-96.76671,17.17656
Peromyscus levipes,-92.53827,16.60216
Eumops auripendulus,-79.7,9.11667
Carollia perspicillata,-80.0,9.31667
Mus musculus,-96.76671,17.17656
Peromyscus mexicanus,-93.05801,16.88854
Neotoma mexicana,-92.58133,16.64355
Liomys irroratus,-96.76671,17.0338
Liomys pictus,-92.32799,15.97386
Peromyscus aztecus,-92.40855,16.60216
Peromyscus levipes,-92.58133,16.64355
Liomys pictus,-93.12828,16.78048
Bassariscus astutus,-96.68754,17.09935
Sciurus aureogaster,-92.19076,16.37328
Liomys irroratus,-96.68754,17.09935
Cephalorhynchus eutropia,-71.61669,-33.583
Baiomys musculus,-96.68754,17.09935
Neotoma mexicana,-92.32799,15.97386
Peromyscus mexicanus,-92.32799,15.97386
Peromyscus truei,-96.76671,17.0338
Nasua narica,-93.80108,16.05052
Reithrodontomys fulvescens,-96.68754,17.09935
Peromyscus levipes,-92.36549,16.64355
Peromyscus levipes,-92.51661,16.58133
Liomys irroratus,-96.7631,17.02713
Leopardus wiedii,-93.2069,16.98853
Liomys pictus,-93.05551,16.75354
Sigmodon hispidus,-96.09642,18.19013
Peromyscus mexicanus,-92.00436,15.95608
Oryzomys couesi,-96.76671,17.17656
Peromyscus melanophrys,-92.32799,15.97386
Baiomys musculus,-93.17495,16.88854
Thylamys elegans,-70.46667,-25.01667
Phyllotis darwini,-70.46667,-25.01667
Abrothrix olivaceus,-70.46667,-25.01667
Mus musculus,-70.46667,-25.01667
Glaucomys volans,-99.63761,17.50571
Phyllotis xanthopygus,-70.46667,-25.01667
Abrothrix andinus,-68.00319,-23.19107
Thylamys venustus,-65.43249,-24.03333
Akodon juninensis,-76.16325,-10.58105
Akodon boliviensis,-65.76667,-19.86667
Thylamys venustus,-64.61667,-21.5
Oligoryzomys andinus,-76.45,-11.88333
Bradypus tridactylus,-58.05,5.28333
Akodon juninensis,-76.45,-11.88333
Akodon fumeus,-64.88333,-17.73333
Akodon lutescens,-64.7,-21.46667
Microryzomys altissimus,-76.16325,-10.58105
Thylamys pallidior,-76.63886,-11.46722
Oligoryzomys chacoensis,-64.7,-21.46667
Akodon varius,-66.4,-17.51667
Oxymycterus hucucha,-64.88333,-17.73333
Thylamys pallidior,-67.15,-18.55
Akodon albiventer,-65.36177,-23.56667
Akodon lutescens,-65.61667,-17.33333
Akodon albiventer,-65.75,-22.0
Necromys lactens,-65.43249,-24.03333
Akodon orophilus,-73.91667,-12.28333
Calomys sorellus,-76.57674,-11.08667
Calomys lepidus,-65.75,-22.0
Akodon varius,-64.53333,-17.9
Calomys lepidus,-76.57674,-11.08667
Oxymycterus paramensis,-65.61667,-17.5
Calomys lepidus,-76.11667,-10.85
